TransactionID,CustomerID,TransactionDate,Item,Quantity,Price
T00001,C0328,2023-01-29 00:47:00,Donat,3,4.08
T00001,C0328,2023-01-29 00:47:00,Cupcake,3,4.09
T00001,C0328,2023-01-29 00:47:00,Croissant,2,1.8
T00002,C0017,2023-01-08 02:13:00,Brownies,3,3.46
T00002,C0017,2023-01-08 02:13:00,Roti Tawar,3,3.77
T00003,C0215,2023-02-26 14:37:00,Roti Tawar,1,2.69
T00003,C0215,2023-02-26 14:37:00,Croissant,2,2.25
T00003,C0215,2023-02-26 14:37:00,Roti Sobek,2,1.86
T00004,C0050,2023-04-02 11:38:00,Roti Tawar,2,4.91
T00004,C0050,2023-04-02 11:38:00,Pie Buah,2,1.78
T00004,C0050,2023-04-02 11:38:00,Roti Gandum,3,4.4
T00005,C0454,2023-04-03 18:12:00,Roti Tawar,2,3.81
T00006,C0041,2023-03-01 03:24:00,Pie Buah,1,2.8
T00006,C0041,2023-03-01 03:24:00,Bagel,3,3.85
T00006,C0041,2023-03-01 03:24:00,Croissant,3,4.78
T00007,C0037,2023-06-05 20:10:00,Donat,3,4.96
T00007,C0037,2023-06-05 20:10:00,Croissant,1,3.91
T00007,C0037,2023-06-05 20:10:00,Pie Buah,1,3.9
T00007,C0037,2023-06-05 20:10:00,Cupcake,1,2.3
T00007,C0037,2023-06-05 20:10:00,Brownies,2,4.32
T00008,C0138,2023-01-17 06:58:00,Bagel,2,3.11
T00008,C0138,2023-01-17 06:58:00,Donat,3,1.99
T00008,C0138,2023-01-17 06:58:00,Pie Buah,2,3.46
T00008,C0138,2023-01-17 06:58:00,Brownies,2,4.11
T00008,C0138,2023-01-17 06:58:00,Cupcake,2,4.64
T00009,C0186,2023-02-26 04:32:00,Roti Gandum,3,3.7
T00009,C0186,2023-02-26 04:32:00,Roti Tawar,1,2.98
T00009,C0186,2023-02-26 04:32:00,Cupcake,3,2.85
T00009,C0186,2023-02-26 04:32:00,Pie Buah,3,4.99
T00010,C0129,2023-05-22 00:43:00,Brownies,3,4.13
T00011,C0175,2023-01-29 09:27:00,Pie Buah,3,4.84
T00011,C0175,2023-01-29 09:27:00,Roti Tawar,3,2.42
T00012,C0391,2023-02-15 16:58:00,Muffin,3,4.45
T00013,C0312,2023-02-20 04:23:00,Brownies,3,4.71
T00013,C0312,2023-02-20 04:23:00,Cupcake,1,2.63
T00014,C0058,2023-04-03 09:15:00,Donat,1,4.57
T00015,C0044,2023-05-05 02:48:00,Croissant,3,2.43
T00015,C0044,2023-05-05 02:48:00,Cupcake,1,2.98
T00015,C0044,2023-05-05 02:48:00,Pie Buah,3,4.75
T00015,C0044,2023-05-05 02:48:00,Muffin,3,3.91
T00015,C0044,2023-05-05 02:48:00,Roti Gandum,3,2.59
T00016,C0333,2023-04-06 14:57:00,Pie Buah,3,2.68
T00016,C0333,2023-04-06 14:57:00,Roti Gandum,3,3.44
T00016,C0333,2023-04-06 14:57:00,Donat,1,2.27
T00016,C0333,2023-04-06 14:57:00,Brownies,1,3.98
T00016,C0333,2023-04-06 14:57:00,Roti Tawar,1,2.3
T00017,C0441,2023-03-26 02:32:00,Muffin,1,2.25
T00017,C0441,2023-03-26 02:32:00,Pie Buah,3,4.03
T00018,C0296,2023-05-02 07:50:00,Roti Sobek,2,3.81
T00018,C0296,2023-05-02 07:50:00,Donat,2,2.98
T00018,C0296,2023-05-02 07:50:00,Roti Gandum,1,4.52
T00018,C0296,2023-05-02 07:50:00,Roti Tawar,3,3.86
T00019,C0051,2023-01-16 12:46:00,Roti Gandum,2,2.17
T00019,C0051,2023-01-16 12:46:00,Donat,1,1.99
T00019,C0051,2023-01-16 12:46:00,Brownies,1,2.47
T00020,C0448,2023-01-20 14:51:00,Roti Gandum,2,2.08
T00020,C0448,2023-01-20 14:51:00,Roti Tawar,2,3.18
T00020,C0448,2023-01-20 14:51:00,Brownies,1,4.66
T00020,C0448,2023-01-20 14:51:00,Pie Buah,2,2.83
T00020,C0448,2023-01-20 14:51:00,Cupcake,2,2.43
T00021,C0147,2023-04-19 22:46:00,Pie Buah,3,4.89
T00021,C0147,2023-04-19 22:46:00,Croissant,1,4.08
T00021,C0147,2023-04-19 22:46:00,Donat,1,4.12
T00021,C0147,2023-04-19 22:46:00,Brownies,2,1.68
T00021,C0147,2023-04-19 22:46:00,Roti Gandum,3,3.26
T00022,C0081,2023-01-15 16:05:00,Roti Gandum,1,3.86
T00022,C0081,2023-01-15 16:05:00,Cupcake,3,2.91
T00023,C0127,2023-05-29 19:02:00,Roti Gandum,2,3.84
T00023,C0127,2023-05-29 19:02:00,Roti Sobek,2,2.34
T00023,C0127,2023-05-29 19:02:00,Bagel,3,1.96
T00023,C0127,2023-05-29 19:02:00,Croissant,2,2.55
T00023,C0127,2023-05-29 19:02:00,Cupcake,1,4.75
T00024,C0005,2023-04-28 19:36:00,Roti Gandum,3,3.38
T00025,C0136,2023-02-03 11:56:00,Donat,1,2.79
T00026,C0225,2023-05-20 22:19:00,Brownies,1,4.79
T00026,C0225,2023-05-20 22:19:00,Roti Tawar,1,2.43
T00026,C0225,2023-05-20 22:19:00,Muffin,1,4.1
T00026,C0225,2023-05-20 22:19:00,Bagel,3,2.45
T00026,C0225,2023-05-20 22:19:00,Cupcake,2,2.24
T00027,C0105,2023-06-25 20:54:00,Brownies,1,4.67
T00027,C0105,2023-06-25 20:54:00,Pie Buah,2,1.82
T00027,C0105,2023-06-25 20:54:00,Muffin,1,4.4
T00028,C0002,2023-03-27 04:40:00,Croissant,1,3.46
T00028,C0002,2023-03-27 04:40:00,Pie Buah,3,1.76
T00028,C0002,2023-03-27 04:40:00,Roti Sobek,3,4.66
T00029,C0019,2023-04-05 18:35:00,Roti Sobek,2,1.65
T00029,C0019,2023-04-05 18:35:00,Croissant,1,4.65
T00030,C0461,2023-04-02 06:43:00,Roti Gandum,2,4.23
T00030,C0461,2023-04-02 06:43:00,Bagel,3,4.91
T00031,C0080,2023-03-02 05:51:00,Roti Sobek,2,2.13
T00031,C0080,2023-03-02 05:51:00,Roti Tawar,2,4.24
T00032,C0411,2023-06-21 23:51:00,Muffin,1,4.26
T00032,C0411,2023-06-21 23:51:00,Croissant,1,2.84
T00033,C0440,2023-05-01 07:12:00,Bagel,1,1.58
T00033,C0440,2023-05-01 07:12:00,Muffin,2,2.89
T00033,C0440,2023-05-01 07:12:00,Donat,2,4.53
T00033,C0440,2023-05-01 07:12:00,Roti Gandum,3,2.73
T00034,C0205,2023-06-23 17:21:00,Roti Gandum,2,4.57
T00035,C0092,2023-05-29 08:02:00,Cupcake,3,3.02
T00036,C0403,2023-03-22 13:38:00,Roti Gandum,1,3.98
T00036,C0403,2023-03-22 13:38:00,Roti Sobek,3,3.32
T00036,C0403,2023-03-22 13:38:00,Donat,3,3.9
T00036,C0403,2023-03-22 13:38:00,Croissant,1,4.08
T00036,C0403,2023-03-22 13:38:00,Roti Tawar,1,2.77
T00037,C0486,2023-06-20 10:39:00,Roti Gandum,2,3.83
T00037,C0486,2023-06-20 10:39:00,Muffin,2,2.91
T00037,C0486,2023-06-20 10:39:00,Brownies,1,3.44
T00038,C0216,2023-06-20 12:43:00,Cupcake,1,2.92
T00038,C0216,2023-06-20 12:43:00,Muffin,1,2.56
T00039,C0221,2023-05-29 19:41:00,Pie Buah,3,3.86
T00039,C0221,2023-05-29 19:41:00,Cupcake,3,3.16
T00039,C0221,2023-05-29 19:41:00,Brownies,1,2.09
T00040,C0146,2023-05-12 21:40:00,Bagel,1,2.29
T00040,C0146,2023-05-12 21:40:00,Roti Gandum,1,2.02
T00040,C0146,2023-05-12 21:40:00,Donat,2,2.36
T00040,C0146,2023-05-12 21:40:00,Cupcake,1,3.64
T00040,C0146,2023-05-12 21:40:00,Croissant,3,3.09
T00041,C0295,2023-02-19 22:44:00,Pie Buah,1,3.8
T00041,C0295,2023-02-19 22:44:00,Roti Sobek,1,4.62
T00041,C0295,2023-02-19 22:44:00,Donat,1,4.22
T00041,C0295,2023-02-19 22:44:00,Roti Gandum,3,2.12
T00042,C0266,2023-04-29 01:35:00,Roti Gandum,2,1.97
T00042,C0266,2023-04-29 01:35:00,Pie Buah,3,3.84
T00043,C0305,2023-03-23 14:39:00,Roti Sobek,2,4.52
T00043,C0305,2023-03-23 14:39:00,Brownies,1,2.41
T00043,C0305,2023-03-23 14:39:00,Pie Buah,2,4.44
T00043,C0305,2023-03-23 14:39:00,Roti Gandum,3,4.18
